 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> novembre 19, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in NIT.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  3,4400E+00 g/cm3 = 8,2898E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ag     47    010,02    043,26   
     Br     35    010,02    032,04   
      I     53    000,40    002,03   
      C      6    021,44    010,31   
      N      7    004,91    002,75   
      O      8    011,82    007,57   
      S     16    000,30    000,38   
      H      1    041,08    001,66   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3,50 GeV   8,837E-02  2,547E-05   69,84 mm     2,71 mm     1,08 mm  
   3,75 GeV   8,513E-02  2,391E-05   78,21 mm     2,96 mm     1,20 mm  
   4,00 GeV   8,228E-02  2,253E-05   86,89 mm     3,21 mm     1,32 mm  
   4,50 GeV   7,754E-02  2,022E-05  105,08 mm     4,13 mm     1,58 mm  
   5,00 GeV   7,377E-02  1,835E-05  124,30 mm     4,95 mm     1,84 mm  
   5,50 GeV   7,070E-02  1,681E-05  144,41 mm     5,72 mm     2,11 mm  
   6,00 GeV   6,817E-02  1,552E-05  165,34 mm     6,46 mm     2,39 mm  
   6,50 GeV   6,605E-02  1,441E-05  187,00 mm     7,16 mm     2,67 mm  
   7,00 GeV   6,425E-02  1,346E-05  209,30 mm     7,83 mm     2,96 mm  
   8,00 GeV   6,139E-02  1,190E-05  255,58 mm    10,23 mm     3,54 mm  
   9,00 GeV   5,925E-02  1,068E-05  303,76 mm    12,31 mm     4,12 mm  
  10,00 GeV   5,760E-02  9,685E-06  353,51 mm    14,20 mm     4,70 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  3,4399E+01                 eV / Angstrom 
  3,4399E+02                keV / micron   
  3,4399E+02                MeV / mm       
  1,0000E+00                keV / (ug/cm2) 
  1,0000E+00                MeV / (mg/cm2) 
  1,0000E+03                keV / (mg/cm2) 
  4,1495E+01                 eV / (1E15 atoms/cm2)
  6,3640E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
